gene	value_1	value_2	log2(fold_change)	p_value
DDX11L1	0.415704	0.511586	0.299419	0.74365
LOC100132062	2.72418	2.59983	-0.0674057	0.6559
LOC100133331	2.72418	2.59983	-0.0674057	0.6559
LOC643837	6.64732	6.58599	-0.0133712	0.93385
SAMD11	3.60048	4.48389	0.316561	0.6186
KLHL17	12.5377	12.0918	-0.0522396	0.69955
PLEKHN1	2.02766	2.44692	0.27115	0.14105
ISG15	97.2505	100.047	0.040893	0.7472
AGRN	13.0946	13.5118	0.0452478	0.71465
B3GALT6	9.09783	10.2965	0.178564	0.1941
SCNN1D	1.20777	1.27672	0.0800903	0.6938
PUSL1	17.9241	16.9243	-0.0828021	0.78635
GLTPD1	6.86396	8.55271	0.317341	0.02515
LOC148413	10.9049	11.3628	0.0593462	0.83945
TMEM88B	0.797864	0.57049	-0.483943	0.4288
VWA1	10.2495	12.3964	0.274364	0.0308
ATAD3C	0.927525	1.00837	0.12057	0.55145
ATAD3B	16.9848	16.4276	-0.0481174	0.716
ATAD3A	30.6826	30.4222	-0.0122996	0.92395
MIB2	13.7682	14.7582	0.100181	0.4448
MMP23B	0.348272	0.546137	0.649047	0.13
CALML6	0.492522	0.56637	0.201559	0.6103
GABRD	7.33991	7.86939	0.100491	0.4975
PRKCZ	17.6061	17.8788	0.0221804	0.9025
SKI	22.7363	24.8848	0.130265	0.28265
RER1	29.3613	30.6651	0.0626842	0.6689
PLCH2	0.796552	0.672924	-0.243326	0.23395
FAM213B	13.9996	16.0984	0.201527	0.1562
ACTRT2	1.50131	2.01067	0.421456	0.07065
PRDM16	1.27908	1.09588	-0.223018	0.1547
ARHGEF16	13.1502	14.4196	0.13295	0.3119
TPRG1L	33.2048	37.5671	0.178081	0.15165
TP73	6.93289	7.81554	0.172888	0.1842
LOC388588	3.25308	3.49059	0.101667	0.71945
DFFB	5.31694	5.22637	-0.0247866	0.86475
LOC284661	0.968682	0.817658	-0.244526	0.3473
KCNAB2	6.21382	5.74427	-0.113356	0.5246
RNF207	7.01096	5.8311	-0.265844	0.45865
ESPN	19.8941	18.5824	-0.0984045	0.4364
ZBTB48	6.98233	6.83732	-0.0302781	0.83625
PHF13	15.2749	16.1513	0.0804836	0.52265
THAP3	7.95469	8.53956	0.102356	0.80245
CAMTA1	33.4809	30.7842	-0.121147	0.4787
VAMP3	54.3203	57.8173	0.0900095	0.46765
PER3	1.14813	1.26745	0.142652	0.4108
PARK7	295.152	290.329	-0.0237709	0.8382
SLC45A1	5.32086	4.5709	-0.219183	0.1572
ENO1-AS1	1.37283	1.44645	0.0753611	0.37145
H6PD	7.65169	6.75571	-0.17967	0.16275
SPSB1	4.82409	5.54078	0.199831	0.162
SLC25A33	21.0718	17.8814	-0.236851	0.08765
TMEM201	11.1182	10.0675	-0.143218	0.28005
PIK3CD	4.18261	4.48878	0.101923	0.8297
NMNAT1	5.21438	5.91247	0.181263	0.1979
RBP7	36.0055	36.3877	0.0152347	0.91715
UBE4B	18.5109	19.8464	0.1005	0.41765
KIF1B	13.7429	15.0599	0.132019	0.28885
PGD	148.557	163.063	0.13441	0.2557
APITD1	12.8344	13.1482	0.0348437	0.80835
APITD1-CORT	12.8344	13.1482	0.0348437	0.80835
CORT	12.8344	13.1482	0.0348437	0.80835
PEX14	14.8135	16.1016	0.120297	0.37275
TARDBP	47.5946	52.5752	0.143585	0.23405
UBIAD1	8.9165	8.17701	-0.124904	0.3492
PTCHD2	0.528411	0.564192	0.0945265	0.66645
FBXO44	14.4458	16.0594	0.152771	0.56315
FBXO6	11.6316	13.7341	0.239709	0.0953
C1orf187	1.78442	2.98626	0.742886	0.00035
AGTRAP	28.462	26.9476	-0.0788783	0.55805
CLCN6	4.23357	4.3585	0.041957	0.81885
PLOD1	92.8722	117.542	0.339862	0.00485
MFN2	35.1332	38.4183	0.12896	0.28795
MIIP	15.1211	16.6905	0.142462	0.2965
VPS13D	4.99939	4.84308	-0.045826	0.7197
PRDM2	3.73832	3.28427	-0.186814	0.2167
KAZN	6.74847	5.90163	-0.193448	0.19095
TMEM51	9.00823	10.0482	0.157616	0.27
FHAD1	0.601082	0.334412	-0.845933	0.0006
EFHD2	29.4327	26.5668	-0.147794	0.23845
DNAJC16	10.8592	10.027	-0.115029	0.3603
DDI2	12.4098	10.5534	-0.233768	0.18985
RSC1A1	12.4098	10.5534	-0.233768	0.18985
PLEKHM2	16.4106	19.2059	0.226924	0.068
FBLIM1	1.14474	3.07827	1.4271	5e-05
SPEN	17.2947	19.2648	0.155638	0.19365
CLCNKB	0.523665	0.589514	0.170882	0.5609
C1orf144	57.0924	60.9168	0.0935406	0.4398
NECAP2	23.2743	26.1291	0.166917	0.1888
MST1P2	5.14319	4.9207	-0.0638002	0.6759
CROCC	4.79593	4.99778	0.0594776	0.6568
PADI3	1.31585	1.76679	0.425141	0.0276
ARHGEF10L	4.66958	4.85939	0.0574843	0.6779
MRTO4	38.7697	37.815	-0.0359708	0.7696
PQLC2	5.5292	5.86902	0.08605	0.589
C1orf151-NBL1	48.1866	53.2347	0.143736	0.2652
MINOS1	48.1866	53.2347	0.143736	0.2652
NBL1	48.1866	53.2347	0.143736	0.2652
OTUD3	5.61878	5.15856	-0.123287	0.35295
CDA	22.5057	24.7725	0.138452	0.32755
PINK1	19.6445	25.5564	0.379562	0.0028
NBPF3	5.45485	5.14374	-0.0847222	0.5461
ALPL	0.48435	0.275092	-0.816137	0.0164
LINC00339	8.71923	8.01733	-0.12108	0.4839
CDC42	144.901	159.829	0.141462	0.24155
ZBTB40	7.67577	8.04705	0.0681498	0.582
EPHB2	11.7264	11.5975	-0.0159491	0.90145
KDM1A	101.643	105.332	0.0514208	0.6658
C1orf213	2.43025	3.24871	0.418763	0.46265
RPL11	1539.68	1317.04	-0.225331	0.06305
TCEB3	10.4788	10.1639	-0.044018	0.7487
PITHD1	31.3521	33.3343	0.0884467	0.49715
LYPLA2	62.9955	69.107	0.133582	0.2757
PNRC2	35.5834	29.6266	-0.264315	0.0367
GRHL3	0.194381	0.941088	2.27544	0.00155
NIPAL3	6.70788	6.74272	0.00747189	0.95345
RCAN3	10.9671	12.7099	0.212774	0.11795
C1orf130	0.543034	0.262403	-1.04926	0.001
SRRM1	75.162	72.9755	-0.0425903	0.71805
CLIC4	44.8523	50.3724	0.167452	0.1698
TMEM50A	43.2388	44.3263	0.0358363	0.7727
TMEM57	9.79422	10.3026	0.0730128	0.5811
LDLRAP1	14.8412	17.0449	0.199732	0.12415
MAN1C1	1.05284	0.955749	-0.139588	0.51015
SEPN1	47.6991	43.732	-0.125275	0.30295
FAM54B	24.5895	25.4497	0.0496071	0.71065
PDIK1L	4.28468	4.19027	-0.0321423	0.8275
ZNF593	43.2817	36.6373	-0.240443	0.0933
CNKSR1	10.3881	11.0194	0.0851218	0.52185
CEP85	12.7035	14.3224	0.173046	0.1784
SH3BGRL3	91.7241	102.708	0.163175	0.18835
CD52	0.631404	0.250773	-1.33218	0.4095
DHDDS	11.737	12.1709	0.0523822	0.6902
HMGN2	237.848	281.401	0.242585	0.0456
RPS6KA1	22.3974	26.5324	0.244421	0.051
ARID1A	18.7699	21.7452	0.212277	0.0804
PIGV	8.11426	8.01247	-0.0182136	0.89875
ZDHHC18	14.4289	14.6465	0.0215968	0.8697
SFN	105.968	94.8223	-0.16033	0.1933
NUDC	141.714	151.481	0.0961532	0.4273
TRNP1	35.8609	26.2524	-0.44996	0.0004
WDTC1	14.3024	15.3856	0.105324	0.39635
TMEM222	18.3121	18.3236	0.000908391	0.9948
SYTL1	17.0906	13.9816	-0.289672	0.03215
GPR3	2.36359	1.74808	-0.43521	0.036
FAM76A	4.18585	4.0119	-0.0612329	0.6842
STX12	11.8103	11.1917	-0.0776103	0.56575
PPP1R8	35.227	36.9875	0.0703569	0.56855
C1orf38	4.65069	5.53708	0.251681	0.1618
SMPDL3B	15.6248	16.0218	0.0361926	0.79165
XKR8	6.42891	8.0268	0.320249	0.03135
ATPIF1	173.562	184.259	0.0862828	0.51565
SESN2	6.22364	5.4002	-0.204746	0.14685
MED18	16.3569	15.0985	-0.115499	0.3892
PHACTR4	12.4227	13.1158	0.0783267	0.5294
RCC1	111.752	99.7021	-0.164611	0.17545
TRNAU1AP	8.27034	8.15972	-0.0194271	0.9301
GMEB1	7.1527	7.0487	-0.0211317	0.8833
YTHDF2	73.4608	68.3029	-0.105028	0.38505
EPB41	15.6321	13.4191	-0.220224	0.12245
PTPRU	15.2247	12.0493	-0.337464	0.00845
LOC100129196	0.458528	0.282977	-0.696322	0.05865
ZCCHC17	22.2094	23.7183	0.0948305	0.47915
SERINC2	27.5565	37.964	0.462239	0.0002
TINAGL1	25.3449	26.1977	0.0477426	0.71105
KHDRBS1	130.95	140.089	0.0973328	0.4109
TMEM39B	9.7331	11.0705	0.185753	0.1936
KPNA6	27.8572	30.2021	0.116601	0.3293
TXLNA	17.9623	18.8014	0.0658717	0.595
CCDC28B	3.01944	2.14835	-0.49105	0.0477
IQCC	2.45952	2.51149	0.0301641	0.86435
EIF3I	217.919	199.782	-0.12537	0.2923
FAM167B	0.568435	0.421604	-0.431109	0.33385
LCK	0.677002	1.2894	0.929464	0.0005
HDAC1	151.125	163.783	0.116044	0.3324
TSSK3	2.76107	2.88997	0.0658244	0.75655
ZBTB8B	0.633442	0.634905	0.00332911	0.98375
ZBTB8A	3.62254	3.36709	-0.105502	0.4532
RBBP4	36.4081	36.0704	-0.0134407	0.92115
KIAA1522	25.9061	28.0214	0.113236	0.39235
S100PBP	8.17798	8.30007	0.0213788	0.952
HPCA	0.557885	0.27541	-1.01839	0.4735
ADC	2.11041	1.99727	-0.0794886	0.6807
ZNF362	4.75769	5.03374	0.0813704	0.57955
ZSCAN20	1.73544	1.75969	0.0200165	0.90595
GJB5	6.7336	4.83952	-0.476513	0.0077
GJB3	11.649	12.3224	0.0810713	0.56365
ZMYM1	11.5918	10.1143	-0.196701	0.13645
ZMYM4	22.0604	23.3224	0.080258	0.507
NCDN	15.3613	16.5218	0.10507	0.40865
TFAP2E	3.32011	3.89646	0.230932	0.16985
EIF2C4	3.34838	4.02401	0.265169	0.05375
EIF2C1	17.9616	19.554	0.122546	0.3117
EIF2C3	5.38455	5.03531	-0.0967457	0.5059
ADPRHL2	18.2176	18.7484	0.0414334	0.75835
MAP7D1	27.3533	32.8287	0.263244	0.03425
THRAP3	81.5114	84.1729	0.0463534	0.7015
SH3D21	1.13799	1.20647	0.0843113	0.6951
ZC3H12A	2.6958	2.61707	-0.042761	0.7977
CDCA8	25.0338	28.1707	0.170319	0.1892
MANEAL	9.498	9.70977	0.0318125	0.822
C1orf122	22.9452	25.7313	0.165331	0.4063
UTP11L	25.529	24.4337	-0.0632631	0.6326
AKIRIN1	42.076	41.2744	-0.0277497	0.8215
NDUFS5	347.572	325.993	-0.0924695	0.4471
